id,user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,retweets,favorites,is_retweet
1.38E+18,Belphy Tech Ltd,"Nairobi, Kenya",We are the partners of choice to help businesses accelerate their journey to cloud and become digital enterprises.,17/08/2020 16:34,2,4,5,FALSE,30/03/2021 12:13,"If there is one thing we know to be true about SME's it's the impact Covid 29 has had on its Customer base 
Take a… https://t.co/IQ3g6zDyUF",,Twitter Web App,1,2,FALSE
1.43E+18,Belphy 🇰🇪🇰🇪,"Nairobi, Kenya",We are the partners of choice to help businesses accelerate their journey to cloud and become digital enterprises.,17/08/2020 16:34,272,246,270,FALSE,23/08/2021 11:48,"Entrepreneurship is not for the fainthearted
No matter what happens, you must pick yourself up
It is ok to feel the… https://t.co/mmuCWXsEdF",,Twitter Web App,1,4,FALSE
1.36E+18,Elmi Bodheri,"Wajir, Kenya",PhD Applied Economics,13/01/2016 11:14,70,136,535,FALSE,16/02/2021 00:56,@WHO @WHO_Europe @WHOAFRO @WHOWPRO @WHOEMRO @pahowho @PAHOCaribbean @WHOSEARO @WHOPhilippines @WHOEgypt @WHONigeria… https://t.co/oetVvp5Niu,,Twitter for iPhone,1,1,FALSE
1.36E+18,Wako Joel,"Voi, Kenya",MSc student | Stoical #Ugandan | #Conservationist | #SocialMedia Handler | Smooth Jazz enthusiast | @F1 devotee | #TeamLH | I’m very busy and important,17/05/2009 07:07,3102,5001,23240,FALSE,22/02/2021 14:50,The European Commission and #Moderna announced a deal for a further 150m doses of the US pharmaceutical company’s j… https://t.co/u7L5BEJWDO,['Moderna'],Twitter for Android,0,0,FALSE
1.38E+18,chris_peluk,"Rongai, Kenya",Determined. Conservative,21/05/2018 14:09,45,95,65,FALSE,03/04/2021 07:14,"Easter Offer
#MasculinitySaturday #Easter2021 #AstraZeneca #SputnikV #WeWantSputnikV https://t.co/BJeruGGy8T","['MasculinitySaturday', 'Easter2021', 'AstraZeneca', 'SputnikV', 'WeWantSputnikV']",Twitter for Android,0,0,FALSE
1.43E+18,JUAN MARLEY,"Rongai, Kenya","°||Baite Inside||
°||Freelance Cinematographer •||Owner @sneakersbarke 👟
°||ADVERTISE HERE💰",06/06/2017 10:05,10567,10302,18864,FALSE,23/08/2021 14:05,"✔Nike Airmax 270
✔Sizes 36-40
✔Ksh.3500
✔Delivered Countrywide
✔To buy use link on bio
AK-47 Likoni #Moderna https://t.co/tquPD7g4sa",['Moderna'],Twitter for Android,0,6,FALSE
1.37E+18,Tonny M.Mugiira✪,"Nairobi, Kenya","Transformative Leader,Opinion Maestro,Youth Leader,Law-LLB & Bsc Hort_UoN,Mentor & Philanthropist.MCA²²,CEO & Founder of a Charity Organization @TheTGFoundation",16/01/2018 10:03,3049,2199,50446,FALSE,24/03/2021 18:48,"The Hot Air Balloon Charm Life Can Be Filled with Adventure If You Let Yourself Soar
#SputnikV",['SputnikV'],Twitter for Android,0,1,FALSE
1.38E+18,Isiolo's Finest™🇰🇪,"Nairobi, Kenya","Political Commentator, Freelancer, Cooperate Hustler,  Student of Life, FOOTBALL Fanatic ⚽",17/11/2017 23:02,1570,1226,41181,FALSE,21/04/2021 20:09,"Covid19 Vaccines  #AstraZeneka #Moderna #JohnsonAndJohnsonVaccine #PfizerVaccine 
The war of business 😅 https://t.co/tnxmVZKYZm","['AstraZeneka', 'Moderna', 'JohnsonAndJohnsonVaccine', 'PfizerVaccine']",Twitter for Android,0,0,FALSE
1.37E+18,Jeanius,"Mombasa, Kenya","Fascinating when I just be myself, the one God create, not the one the devil misguided",01/06/2016 19:56,16,13,197,FALSE,18/03/2021 20:14,Irony: Political fear-mongers complaining when people assume causality when someone dies shortly after getting the… https://t.co/TQpnvPIbk9,,Twitter for iPhone,0,0,FALSE
1.37E+18,Global Health Strategies,"Nairobi, Kenya","We believe in the power of advocacy & communications to ↑ health & wellbeing around the 🌍, leaving no one behind. Views = ours. Tweets from all offices.",11/10/2010 20:28,85118,2857,13197,TRUE,04/03/2021 17:59,"Big #vaccine news from the EU:

The European Union's drug regulator announced today that will start a formal review… https://t.co/QXjE7Kq853",['vaccine'],TweetDeck,2,3,FALSE
1.39E+18,Global Health Strategies,"Nairobi, Kenya","We believe in the power of advocacy & communications to ↑ health & wellbeing around the 🌍, leaving no one behind. Views = ours. Tweets from all offices.",11/10/2010 20:28,88696,2901,13901,TRUE,13/05/2021 14:27,Seychelles has seen a surge in #COVID19 cases even though much of its population was inoculated with China’s… https://t.co/3NtnQsqUGJ,['COVID19'],TweetDeck,9,13,FALSE
1.40E+18,Global Health Strategies,"Nairobi, Kenya","We believe in the power of advocacy & communications to ↑ health & wellbeing around the 🌍, leaving no one behind. Views = ours. Tweets from all offices.",11/10/2010 20:28,90789,2905,14096,TRUE,02/06/2021 20:31,#DYK China's #COVID19 vaccine #Sinovac was granted emergency approval for those aged 18+ by @WHO this week? Learn m… https://t.co/w6sw1jYYMK,"['DYK', 'COVID19', 'Sinovac']",TweetDeck,3,8,FALSE
1.40E+18,Global Health Strategies,"Nairobi, Kenya","We believe in the power of advocacy & communications to ↑ health & wellbeing around the 🌍, leaving no one behind. Views = ours. Tweets from all offices.",11/10/2010 20:28,90789,2905,14096,TRUE,02/06/2021 14:26,"The @WHO just approved China's #Sinovac #COVID19 #vaccine for emergency use.

Zixiang (George) Zhou of our sister c… https://t.co/eKL28iiB4g","['Sinovac', 'COVID19', 'vaccine']",Twitter Web App,1,6,FALSE
1.40E+18,Global Health Strategies,"Nairobi, Kenya","We believe in the power of advocacy & communications to ↑ health & wellbeing around the 🌍, leaving no one behind. Views = ours. Tweets from all offices.",11/10/2010 20:28,90952,2905,14124,TRUE,08/06/2021 15:57,"China's largest producer of #COVID19 vaccines, Sinovac, makes up ~75% of all vaccine exports from #China.

Last wee… https://t.co/afn27qaRyG","['COVID19', 'China']",TweetDeck,2,3,FALSE
1.41E+18,Global Health Strategies,"Nairobi, Kenya","We believe in the power of advocacy & communications to ↑ health & wellbeing around the 🌍, leaving no one behind. Views = ours. Tweets from all offices.",11/10/2010 20:28,91620,2908,14235,TRUE,22/06/2021 22:03,"Merkel’s mix-and-match 💉⬇

Germany's Chancellor got #Moderna as her second dose after getting #AstraZeneca for her… https://t.co/26GrI2Q0T7","['Moderna', 'AstraZeneca']",TweetDeck,36,72,FALSE
1.42E+18,Global Health Strategies,"Nairobi, Kenya","We believe in the power of advocacy & communications to ↑ health & wellbeing around the 🌍, leaving no one behind. Views = ours. Tweets from all offices.",11/10/2010 20:28,92326,2908,14361,TRUE,14/07/2021 13:49,"Vaccine News 🇷🇺💉🇮🇳

The Sputnik V #COVID19 jab has been approved in #India.

India’s @SerumInstIndia has partnered… https://t.co/JQTpeYfqMI","['COVID19', 'India']",TweetDeck,1,0,FALSE
1.46E+18,Global Health Strategies,"Nairobi, Kenya","We believe in the power of advocacy & communications to ↑ health & wellbeing around the 🌍, leaving no one behind. Views = ours. Tweets from all offices.",11/10/2010 20:28,94043,2942,15473,TRUE,03/11/2021 16:19,"The @WHO has approved @BharatBiotech's COVID-19 vaccine, #Covaxin, for emergency use. 

Studies show that the India… https://t.co/CUcAjnmbqO",['Covaxin'],TweetDeck,1,3,FALSE
1.46E+18,Global Health Strategies,"Nairobi, Kenya","We believe in the power of advocacy & communications to ↑ health & wellbeing around the 🌍, leaving no one behind. Views = ours. Tweets from all offices.",11/10/2010 20:28,94052,2941,15498,TRUE,04/11/2021 18:40,"Yesterday, @WHO granted Emergency Use Listing to #Covaxin, the 8th #COVID19 vaccine to win WHO validation for safet… https://t.co/kQ24il2D6j","['Covaxin', 'COVID19']",TweetDeck,3,7,FALSE
